"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_3NIF30lFQlpUUyl",9,"phrasal","Promotional “signs” like advertisements or flyers","Restricted",24.426,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_6k1StbhMcvVXRgr",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",16.003,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_7AKWXCRAw6ZONd3",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",26.953,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_1sYkS5lhnbaWImt",9,"phrasal","Any “sign” including a happy birthday banner","Broad",52.515,"IT","","Some law-related coursework","Lean Conservative","IT",1
"R_6bId9pWGuOKIbC3",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",32.22,"Bicycle","","No legal education or work experience","Lean Conservative","Bicycle",1
"R_6aJNsiAmIWCN8yT",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",60.403,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_6kNqlGjLWMnuwld",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",33.347,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_6KNuowh6v9e9Yab",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",31.43,"Power plant","","No legal education or work experience","Lean Liberal","Power plant",1
"R_7NCNcqhUWk7pBTj",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",50.002,"Nicholas","no additional comments","Some law-related coursework","Liberal/Democrat","Nicholas",1
"R_3RWaAzjtj8C4yHs",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",13.678,"An aquarium","It seems pretty obvious that the law is not about fish tanks. ","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_7eUNwr4mb8L1fqB",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",36.977,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_1nNpXzGB7GxO9fn",10,"baseline","Any “machine” including a small sewing machine","Broad",25.74,"Sewing machine","If the machine creates any type of noise and the building has thin walls it could disrupt others. ","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_7qwLxhM7yLWMetz",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",52.256,"In her purse","","Legal work experience but no law degree","Liberal/Democrat","In her purse",1
"R_1kj0xF9fyvbLCGf",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",67.489,"Orca","None","No legal education or work experience","Lean Conservative","Orca",1
"R_7N2PbQcigM2gONU",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",37.281,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_12GtBQJ2DzM9ywd",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",38.639,"At the campground","Trash in the ocean that forms nearly island-size proportions, the mounds of STUFF we bury in dumps...a bit of paper trash may not seem like much, but g-dammit, every bit of trash floating-flying-buried is more damage we do to this Earth that is our ONLY home!","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_6JSL7dyp9qTDHlD",9,"baseline","Any “sign” including a happy birthday banner","Broad",48.283,"IT","","No legal education or work experience","Lean Conservative","IT",1
"R_3lKxSDkoDJhjVq9",7,"simple","Any “detailed representations” including an intricate painting","Broad",100.517,"Joshua","Great study, no other feedback, thank you. ","No legal education or work experience","Conservative/Republican","Joshua",1
"R_3pltQ0XQvpjWj2x",3,"simple","Any “clinic” including a wellness spa","Broad",19.999,"Gun","i  do not think you should carry fire arms in a spa or hospital ","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6PjylDKY7JaHWBM",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",46.675,"In her purse","nice interesting short study","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_7VFRXrRDgWLqpR7",8,"phrasal","Any “tank” including a fish tank","Broad",33.188,"An aquarium","NONE","No legal education or work experience","Lean Liberal","An aquarium",1
"R_5Pdk0oSzMgKMUxa",10,"baseline","Any “machine” including a small sewing machine","Broad",21.906,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_5tBFtXdAiwq2QIp",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",26.241,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_3GCfkemfoMmaMx7",7,"baseline","Any “detailed representations” including an intricate painting","Broad",84.339,"Joshua","","Some law-related coursework","Lean Liberal","Joshua",1
"R_7ZZqErbcYO9o18t",10,"phrasal","Any “machine” including a small sewing machine","Broad",114.903,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_1Dw13zCZqdwNf7z",4,"baseline","Any “relinquishment” including a temporary lease","Broad",42.135,"Power plant","","No legal education or work experience","Lean Conservative","Power plant",1
"R_3SBN1CaPxxe096Z",4,"simple","Any “relinquishment” including a temporary lease","Broad",30.718,"Power plant","","Some law-related coursework","Moderate/Centrist","Power plant",1
"R_3O5cT62XOtMXVlv",10,"baseline","Any “machine” including a small sewing machine","Broad",19.31,"Sewing machine","The ""no machines' rule is weak but that is the rule. ","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_3fBu6YRPXLpNN3Z",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",30.131,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_57VYRvB2tdbNwOP",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",21.172,"At the campground","","Some law-related coursework","Moderate/Centrist","At the campground",1
"R_1ltY45lSX8EQNqo",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",35.04,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_6q4vy0iPDRHuRN9",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",37.544,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_1jfiTXwo6dJR1Ms",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",118.886,"In her purse","The law allows for the gun to be secured in a closed and fastened case when carried in a vehicle. Her purse was closed and fastened so she did not violate the law.","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_3HZmb6upNdgcSD0",10,"simple","Any “machine” including a small sewing machine","Broad",33.893,"Sewing machine","","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_3PtxxtBVPDfj3mZ",9,"simple","Any “sign” including a happy birthday banner","Broad",89.487,"IT","great study","No legal education or work experience","Moderate/Centrist","IT",1
"R_1UO2hre3x3YpBzX",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",37.536,"William","","No legal education or work experience","Liberal/Democrat","Nicholas",0
"R_7pfILtQ698TPzNv",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",29.455,"At the campground","i feel that if the rule applied to the waste that attracted animals, the sign was worded in a way that caused me to think ALL waste should be in sealed containers.","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_3P6NS55NqIhRey9",6,"simple","Any “waste” including used gift-wrapping paper","Broad",27.395,"At the campground","","Legal work experience but no law degree","Liberal/Democrat","At the campground",1
"R_7sRynCn5r2gsoqC",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",44.349,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_56apOT1QpeJml9q",4,"simple","Any “relinquishment” including a temporary lease","Broad",25.222,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_1rD18dnEgr7mAtB",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",46.791,"Housing subsidy","","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_7UayQrxtDqZTtbe",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",7.132,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_6oz1sxNgugTgBnb",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",65.723,"In her purse","Thank you for the opportunity to participate in this study. The instructions were very clear and concise. There wasn't anything contained in the study that was unclear or confusing. ","No legal education or work experience","Lean Conservative","In her purse",1
"R_3tnAbGkTIGwyEV1",3,"phrasal","Any “clinic” including a wellness spa","Broad",57.459,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_1HvioqoqhWtMu0O",6,"simple","Any “waste” including used gift-wrapping paper","Broad",32.611,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_56PDUm6T77i9PeV",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",54.217,"Orca","The whale didnt ask to be in the aquarium and depends on the care of others so i think she technically harmed it intentionally because it cant clean its own tank.","No legal education or work experience","Moderate/Centrist","Orca",1
"R_7zd6SxUu0SpHXgp",12,"simple","Any “vehicle” including a bicycle","Broad",31.93,"Bicycle","","Some law-related coursework","Moderate/Centrist","Bicycle",1
"R_3zD4j2zPV8mHjPw",10,"simple","Loud “machines” like washers or dryers","Restricted",17.244,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_1SA6y5zmbuphkKB",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",31.067,"An aquarium","","No legal education or work experience","Lean Liberal","An aquarium",1
"R_1n6gjsnLEmcgB2I",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",48.518,"Beluga","","No legal education or work experience","Lean Liberal","Orca",0
"R_5k5s62ekwmqndc8",9,"baseline","Any “sign” including a happy birthday banner","Broad",23.772,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_7z4yxw38EQCaxHz",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",34.439,"Housing subsidy","","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_1sEjx8mzUpwB19T",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",53.246,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_5NRoYUT4lC4NBbW",7,"baseline","Any “detailed representations” including an intricate painting","Broad",31.008,"Joe","","No legal education or work experience","Lean Conservative","Joshua",0
"R_3eXLk4zBlLKS6uR",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",37.018,"Nicholas","","No legal education or work experience","Lean Conservative","Nicholas",1
"R_6hYUVh3vx437dQf",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",26.585,"Nicholas","That would be hugely unfair to Nicholas!","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_72zzJ4f16o7T3HT",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",14.836,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_35MzrgEaZ4aPSQR",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",29.715,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_3l0PZSB2Mcaob0j",12,"baseline","Any “vehicle” including a bicycle","Broad",36.359,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_54OAiQuxJpsahDb",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",38.076,"Orca","No comments","No legal education or work experience","Conservative/Republican","Orca",1
"R_5f32fg2pxrkOaGy",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",36.085,"Orca","","No legal education or work experience","Lean Conservative","Orca",1
"R_346itfj7LYER9lw",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",82.286,"Bill","","No legal education or work experience","Moderate/Centrist","Joshua",0
"R_7Og3wHAlpjEUgOB",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",26.48,"Housing subsidy","","No legal education or work experience","Right-wing (most conservative)","Housing subsidy",1
"R_3WScxBpnk8uHUhd",8,"phrasal","Any “tank” including a fish tank","Broad",30.137,"An aquarium","I don't have any comments.","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_5dyuNcJGhSRtCT7",3,"simple","Any “clinic” including a wellness spa","Broad",14.711,"Gun","nbone","No legal education or work experience","Lean Conservative","Gun",1
"R_7vr5b74Pyr3NFUB",9,"simple","Promotional “signs” like advertisements or flyers","Restricted",10.538,"Custodial","","No legal education or work experience","Liberal/Democrat","IT",0
"R_1qNHcmcWJ1kN1Uy",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",30.357,"An aquarium","","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_7UXapptvTO4Q0sV",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",31.684,"In her purse","","Some law-related coursework","Lean Liberal","In her purse",1
"R_1Fbw4RDOEI0BHwt",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",38.559,"In her purse","","No legal education or work experience","Right-wing (most conservative)","In her purse",1
"R_1SH1HjkddTWeEId",12,"phrasal","Any “vehicle” including a bicycle","Broad",45.196,"Bicycle","The second sentence is where the distinction should have been made. It was clear from the start that anything with an engine was to be excluded. The second part was evasive but leads me to believe that any sort of riding apparatus is also excluded.","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_6xIpoGOFLnUWFc5",10,"phrasal","Loud “machines” like washers or dryers","Restricted",31.994,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_6rPaLnIBt3Ccxcd",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",38.048,"Gun","","No legal education or work experience","Lean Liberal","Gun",1
"R_5fpSf7OkeZ9kTwP",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",42.531,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_5rVnj3ehpSfbyLS",9,"phrasal","Any “sign” including a happy birthday banner","Broad",32.185,"IT","","Some law-related coursework","Moderate/Centrist","IT",1
"R_30oQbOt2xdeV8Gn",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",13.306,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_3tmLHuhPVR5RMx8",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",26.285,"Power plant","","Legal work experience but no law degree","Conservative/Republican","Power plant",1
"R_3DpekkFuiFm5ebt",4,"simple","Any “relinquishment” including a temporary lease","Broad",35.768,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_6WP66ungqgkGM04",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",15.159,"Bicycle","","No legal education or work experience","Right-wing (most conservative)","Bicycle",1
"R_6W8EyEL2gj7zplL",10,"simple","Any “machine” including a small sewing machine","Broad",27.392,"Sewing machine","","No legal education or work experience","Lean Conservative","Sewing machine",1
"R_7QuMtFohDFPMIny",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",53.71,"Housing subsidy","I don't have any feedback, other than thanks for the survey. ","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_69YylfVv6YzeOiZ",10,"baseline","Loud “machines” like washers or dryers","Restricted",27.713,"Sewing machine","","No legal education or work experience","Lean Conservative","Sewing machine",1
"R_6mW80DsxSg97bl7",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",33.179,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_64NR3tUZN6ePUmQ",3,"baseline","Any “clinic” including a wellness spa","Broad",29.023,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_7QgVR1HXM7lVtQo",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",18.848,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_60rCHB7ww0BMt3S",7,"simple","Any “detailed representations” including an intricate painting","Broad",36.824,"George","I am extremely bad at names but I do know that he created an intricate painting of one of the works in the museum and the policy prohibits blueprints, drawings, and other detailed recreations. ","No legal education or work experience","Liberal/Democrat","Joshua",0
"R_7JDW0qWVli4SJUy",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",27.07,"Mary","","No legal education or work experience","Moderate/Centrist","Nicholas",0
"R_6oMnBMtNIlgv3DX",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",27.492,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_62Kiz2A9OyzdIl7",2,"baseline","Direct, intentional “harms” that are like hunting and shooting","Restricted",37.124,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_7QLx8veQdyqTMEd",7,"baseline","Any “detailed representations” including an intricate painting","Broad",20.907,"Joshua","The survey was brief and simple to follow, with an understandable passage and clear questions that related directly to the information provided.","No legal education or work experience","Conservative/Republican","Joshua",1
"R_7zATW6z5fjeHSGi",10,"phrasal","Any “machine” including a small sewing machine","Broad",17.454,"Sewing machine","","Legal work experience but no law degree","Lean Conservative","Sewing machine",1
"R_5k19vfvq0jzgT13",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",95.773,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_1XnTwvp40uwM4KT",3,"phrasal","Any “clinic” including a wellness spa","Broad",58.36,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_315PIuiibxLMMN2",6,"simple","Any “waste” including used gift-wrapping paper","Broad",68.332,"At the campground",NA,"No legal education or work experience","Moderate/Centrist","At the campground",1
"R_53xpdjmt7AeByzD",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",36.053,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_5e5X0xGzv1PbKwN",8,"phrasal","Any “tank” including a fish tank","Broad",27.798,"An aquarium","","Some law-related coursework","Liberal/Democrat","An aquarium",1
"R_3fcVIQh1CFRW3qF",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",27.723,"An aquarium","","Some law-related coursework","Liberal/Democrat","An aquarium",1
"R_6VvJ8aWr8VEi84V",7,"simple","Any “detailed representations” including an intricate painting","Broad",129.244,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_5iGfNyQozZ8zL5D",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",31.411,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_71uAawkVhboN2a5",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",56.583,"Joshua","im terrible with names ","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_7Glyc2ulgcdMpNl",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",24.762,"Nicholas","","No legal education or work experience","Lean Liberal","Nicholas",1
"R_63avosdbsy1tdO8",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",29.609,"Orca","","Other (please specify)","Conservative/Republican","Orca",1
"R_6kbw3VZLXPuA51N",9,"phrasal","Any “sign” including a happy birthday banner","Broad",36.912,"IT","I'm a slightly liberal Republican.  Seal the borders but vastly expand immigration.  Universal basic income is needed ASAP and I would vote for Trump if he runs for a third term.","No legal education or work experience","Lean Liberal","IT",1
"R_3OV3TqhzGzSbfEd",9,"baseline","Any “sign” including a happy birthday banner","Broad",17.805,"IT","I believe that most policies are there for a reason, even though some may be almost irrational. In this case, Jacob is violating not only violating office policy, but also his boss’ right to privacy, not to have his birthday publicized!","Legal work experience but no law degree","Moderate/Centrist","IT",1
"R_1hoodGuCHnrMRUJ",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",20.493,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_6fXS7oqABUF7n6V",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",43.626,"In her purse","","No legal education or work experience","Lean Conservative","In her purse",1
"R_5oGztMlAFKwO2qO",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",107.713,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_7ptG83LXU6vFCUn",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",50.696,"A pet store","Well done.","Some law-related coursework","Liberal/Democrat","An aquarium",0
"R_3qpwZ15lhr9djq3",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",20.414,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_7dQMVjGrE0QTg9W",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",30.373,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_5mQ6mrzBnPBtEE9",3,"baseline","Any “clinic” including a wellness spa","Broad",24.003,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_5E6txgeb0CnL4YK",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",60.589,"At the campground","","Some law-related coursework","Liberal/Democrat","At the campground",1
"R_6WQHjxTiOjXHeRr",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",51.853,"Mary","","No legal education or work experience","Progressive (most liberal)","Nicholas",0
"R_3Vaun30lOiAB8I1",10,"baseline","Loud “machines” like washers or dryers","Restricted",22.699,"Sewing machine","","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_7YgJDS7EdXa5hJB",9,"phrasal","Any “sign” including a happy birthday banner","Broad",62.185,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_7j34FUJ7MhieHes",12,"phrasal","Any “vehicle” including a bicycle","Broad",53.534,"Bicycle","","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_30pkUT553ysVQZO",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",22.532,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_7MS3jIl5ajb8h3d",10,"simple","Any “machine” including a small sewing machine","Broad",30.796,"Sewing machine","","No legal education or work experience","Lean Conservative","Sewing machine",1
"R_5je7AUnkwKrEM7P",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",294.911,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_3e9yibCMytdTu4u",7,"baseline","Any “detailed representations” including an intricate painting","Broad",38.293,"Bill","","No legal education or work experience","Moderate/Centrist","Joshua",0
"R_35Wu5n59uaxb8Bj",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",50.319,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_55usWACHnGRXRXq",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",30.561,"At the campground","","No legal education or work experience","Lean Conservative","At the campground",1
"R_14AHIdATgdcXl1I",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",18.017,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_3aIDxTbYMILnPuG",3,"phrasal","Any “clinic” including a wellness spa","Broad",157.27,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_3ZikyJ9Q0HWAMUN",9,"baseline","Any “sign” including a happy birthday banner","Broad",26.97,"IT","The study was well presented and easy to understand. Thank you","No legal education or work experience","Liberal/Democrat","IT",1
"R_7zuVLIdztIMfjBO",10,"phrasal","Loud “machines” like washers or dryers","Restricted",36.132,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_3QsNRcBDbCFGbLf",2,"baseline","Direct, intentional “harms” that are like hunting and shooting","Restricted",55.597,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_62TsyrLW3MhU7D3",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",22.693,"In her purse","","No legal education or work experience","Lean Liberal","In her purse",1
"R_3aFW84BsDJum8V6",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",50.652,"Housing subsidy","","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_7VKhsuuWlQmkSPe",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",20.505,"In her purse","No additional comments ","No legal education or work experience","Lean Conservative","In her purse",1
"R_7oAWyi3bj543MDN",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",51.764,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_73gDwYzxycvuOxn",8,"baseline","Any “tank” including a fish tank","Broad",36.428,"An aquarium","","No legal education or work experience","Conservative/Republican","An aquarium",1
"R_3TPfvQ3cKZj8puF",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",59.213,"A pet store","I feel like the ""attention check"" question options were done unfairly. To put both aquarium and pet store as options is unnecessarily tricky and it could be argued that either are apt. Also, this was a memory check, not an attention check. Attention checks are when a question asks you to ignore the question and input an answer that was provided in the question.","No legal education or work experience","Lean Conservative","An aquarium",0
"R_626gUuhBpDR5vq1",4,"baseline","Any “relinquishment” including a temporary lease","Broad",61.604,"Power plant","n/a","No legal education or work experience","Lean Conservative","Power plant",1
"R_3kP30urZ7kCOaNb",6,"simple","Any “waste” including used gift-wrapping paper","Broad",22.875,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_631fGxBCHkhHFzS",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",22.962,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_6Y6eW1ypb7MJdLj",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",47.258,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_3CPeXOX9xCfDErg",9,"simple","Any “sign” including a happy birthday banner","Broad",31.85,"IT","","No legal education or work experience","Lean Liberal","IT",1
"R_3tLkSndoDkwJk7E",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",89.589,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_1g3r5pons7hnyO5",7,"simple","Any “detailed representations” including an intricate painting","Broad",44.129,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_3NzgjNZOrz416SS",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",26.083,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_6ikWhln3Zd76AzT",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",28.393,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_6ydC3D9tLJC47AB",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",92.53,"Joshua","","No legal education or work experience","Lean Conservative","Joshua",1
"R_75zoBpcVEbALNFm",9,"simple","Any “sign” including a happy birthday banner","Broad",40.707,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_5ITbprdM9t65M6M",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",17.463,"Orca","","No legal education or work experience","Lean Liberal","Orca",1
"R_5xskZrmk7ou4QSZ",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",96.481,"Power plant","","No legal education or work experience","Conservative/Republican","Power plant",1
"R_1mkChpBGdH1Sg86",8,"simple","Any “tank” including a fish tank","Broad",112.144,"An aquarium","","No legal education or work experience","Right-wing (most conservative)","An aquarium",1
"R_7ePKkIIC626Ti43",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",24.573,"Gun","It seems to me that the law itself would define what is meant by 'clinic', but that was outside the scope of the scenario question. good luck with your research. ","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6tFo1UZnmcaTFkL",12,"baseline","Any “vehicle” including a bicycle","Broad",28.164,"Bicycle","","No legal education or work experience","Lean Liberal","Bicycle",1
"R_7PjPtiuFykxUOFr",9,"phrasal","Any “sign” including a happy birthday banner","Broad",40.104,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_1AuYzpgoiQ6srMl",4,"simple","Any “relinquishment” including a temporary lease","Broad",121.057,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_7D6sr2Ko1j2NiNy",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",59.212,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
